,Year,Ceftazidim,Ciprofloxacin,Gentamicin
4248,2006,30.0,34.0,22.0
4253,2006,31.0,31.0,22.0
4254,2006,35.0,35.0,23.0
4255,2006,31.0,33.0,23.0
4256,2006,34.0,6.0,25.0
4257,2006,31.0,31.0,24.0
4258,2006,34.0,34.0,24.0
4259,2006,32.0,34.0,22.0
4260,2006,29.0,30.0,22.0
4261,2006,34.0,40.0,20.0
4262,2006,32.0,32.0,20.0
4263,2006,34.0,30.0,22.0
4264,2006,34.0,34.0,24.0
4276,2006,32.0,36.0,24.0
4277,2006,32.0,32.0,22.0
4278,2006,30.0,34.0,20.0
4279,2006,31.0,32.0,24.0
4280,2006,30.0,31.0,26.0
4281,2006,30.0,30.0,24.0
4282,2006,31.0,33.0,24.0
4283,2006,30.0,30.0,24.0
4284,2006,30.0,34.0,24.0
4285,2006,29.0,31.0,23.0
4286,2006,29.0,28.0,22.0
4287,2006,31.0,30.0,24.0
4288,2006,28.0,30.0,22.0
4289,2006,32.0,40.0,22.0
4290,2006,28.0,30.0,22.0
4291,2006,30.0,30.0,22.0
4292,2006,30.0,31.0,24.0
4293,2006,30.0,32.0,22.0
4294,2006,28.0,30.0,22.0
4295,2006,28.0,30.0,24.0
4296,2006,30.0,6.0,22.0
4297,2006,30.0,32.0,22.0
4298,2006,32.0,31.0,24.0
4299,2006,30.0,31.0,24.0
4300,2006,30.0,30.0,24.0
4301,2006,30.0,32.0,24.0
4302,2006,28.0,30.0,32.0
4303,2006,30.0,36.0,26.0
4304,2006,30.0,30.0,20.0
4305,2006,30.0,30.0,22.0
4306,2006,33.0,30.0,26.0
4307,2006,28.0,29.0,22.0
4308,2006,30.0,30.0,24.0
4309,2006,30.0,30.0,22.0
4310,2006,28.0,30.0,24.0
4311,2006,30.0,30.0,22.0
4312,2006,30.0,6.0,6.0
4313,2006,28.0,30.0,20.0
4314,2006,10.0,6.0,6.0
4315,2006,26.0,28.0,20.0
4327,2006,30.0,29.0,22.0
4328,2006,34.0,33.0,22.0
4329,2006,32.0,36.0,24.0
4330,2006,22.0,6.0,8.0
4331,2006,30.0,32.0,22.0
4332,2006,32.0,32.0,23.0
4333,2006,30.0,33.0,24.0
4334,2006,30.0,30.0,22.0
4335,2006,30.0,31.0,24.0
4336,2006,30.0,32.0,22.0
4337,2006,29.0,32.0,22.0
4338,2006,32.0,32.0,22.0
4339,2006,32.0,32.0,23.0
4340,2006,28.0,31.0,22.0
4341,2006,32.0,32.0,24.0
4342,2006,31.0,32.0,23.0
4343,2006,28.0,6.0,22.0
4344,2006,29.0,28.0,23.0
4345,2006,29.0,32.0,24.0
4346,2006,30.0,28.0,22.0
4347,2006,30.0,22.0,22.0
4348,2006,30.0,32.0,22.0
4349,2006,29.0,26.0,22.0
4350,2006,39.0,38.0,24.0
4351,2006,38.0,40.0,25.0
4352,2006,27.0,28.0,22.0
4353,2006,30.0,31.0,22.0
4354,2006,30.0,31.0,24.0
4355,2006,30.0,28.0,22.0
4356,2006,30.0,31.0,22.0
4357,2006,28.0,31.0,22.0
4358,2006,29.0,32.0,24.0
4359,2006,31.0,34.0,24.0
4360,2006,28.0,32.0,24.0
4361,2006,30.0,6.0,24.0
4362,2006,29.0,32.0,23.0
4363,2006,31.0,34.0,23.0
4364,2006,29.0,32.0,20.0
4365,2006,32.0,32.0,23.0
4366,2006,26.0,37.0,27.0
4367,2006,26.0,33.0,26.0
4368,2006,26.0,32.0,26.0
4369,2006,30.0,34.0,27.0
4370,2006,28.0,32.0,26.0
4371,2006,27.0,32.0,26.0
4372,2006,26.0,32.0,25.0
4373,2006,29.0,34.0,28.0
4374,2006,32.0,35.0,26.0
4375,2006,28.0,34.0,27.0
4376,2006,29.0,34.0,26.0
4377,2006,24.0,36.0,28.0
4378,2006,28.0,32.0,27.0
4379,2006,32.0,38.0,28.0
4380,2006,29.0,34.0,27.0
4381,2006,34.0,40.0,30.0
4382,2006,30.0,37.0,28.0
4383,2006,28.0,37.0,26.0
4384,2006,27.0,34.0,25.0
4385,2006,31.0,36.0,29.0
4386,2006,6.0,26.0,28.0
4387,2006,31.0,35.0,28.0
4388,2006,31.0,35.0,28.0
4389,2006,27.0,34.0,30.0
4390,2006,32.0,38.0,30.0
4391,2006,34.0,36.0,27.0
4392,2006,33.0,35.0,28.0
4393,2006,33.0,34.0,27.0
4394,2006,32.0,37.0,28.0
4395,2006,31.0,34.0,28.0
4396,2006,30.0,38.0,27.0
4397,2006,34.0,26.0,29.0
4398,2006,33.0,31.0,26.0
4399,2006,32.0,35.0,27.0
4400,2006,30.0,36.0,25.0
4401,2006,28.0,34.0,26.0
4402,2006,29.0,36.0,27.0
4403,2006,32.0,36.0,24.0
4404,2006,30.0,35.0,24.0
4405,2006,39.0,34.0,28.0
4406,2006,29.0,36.0,27.0
4407,2006,28.0,6.0,28.0
4408,2006,29.0,36.0,26.0
4409,2006,28.0,34.0,37.0
4410,2006,28.0,31.0,27.0
4411,2006,27.0,31.0,26.0
4412,2006,28.0,34.0,28.0
4413,2006,27.0,34.0,27.0
4414,2006,28.0,33.0,26.0
4415,2006,27.0,33.0,27.0
4416,2006,28.0,33.0,26.0
4417,2006,32.0,41.0,27.0
4418,2006,29.0,30.0,26.0
4419,2006,32.0,37.0,27.0
4420,2006,33.0,38.0,28.0
4421,2006,31.0,38.0,28.0
4422,2006,29.0,6.0,13.0
4423,2006,29.0,32.0,26.0
4424,2006,30.0,38.0,30.0
4425,2006,32.0,40.0,27.0
4426,2006,30.0,37.0,26.0
4427,2006,28.0,35.0,28.0
4428,2006,32.0,35.0,24.0
4429,2006,30.0,38.0,28.0
4430,2006,30.0,37.0,28.0
4431,2006,34.0,39.0,29.0
4432,2006,32.0,39.0,27.0
4433,2006,35.0,38.0,27.0
4434,2006,30.0,40.0,28.0
4435,2006,31.0,38.0,26.0
4436,2006,31.0,38.0,15.0
4437,2006,28.0,38.0,28.0
4438,2006,32.0,38.0,28.0
4439,2006,32.0,40.0,28.0
4440,2006,32.0,39.0,28.0
4441,2006,29.0,37.0,25.0
4442,2006,28.0,35.0,27.0
4443,2006,34.0,38.0,28.0
4444,2006,32.0,38.0,28.0
4445,2006,32.0,40.0,28.0
4446,2006,31.0,36.0,30.0
4447,2006,30.0,39.0,26.0
4448,2006,30.0,36.0,27.0
4449,2006,30.0,34.0,26.0
4450,2006,34.0,9.0,28.0
4451,2006,28.0,36.0,24.0
4452,2006,26.0,36.0,24.0
4453,2006,27.0,38.0,25.0
4454,2006,30.0,36.0,24.0
4455,2006,32.0,37.0,28.0
4456,2006,32.0,38.0,28.0
4457,2006,32.0,36.0,26.0
4458,2006,30.0,35.0,26.0
4459,2006,24.0,38.0,28.0
4460,2006,32.0,36.0,26.0
4461,2006,31.0,35.0,25.0
4462,2006,27.0,34.0,22.0
4463,2006,32.0,37.0,28.0
4464,2006,30.0,36.0,27.0
4465,2006,33.0,36.0,26.0
4466,2006,29.0,32.0,27.0
4472,2006,36.0,43.0,25.0
4473,2006,36.0,43.0,29.0
4474,2006,36.0,39.0,26.0
4475,2006,35.0,6.0,27.0
4476,2006,35.0,40.0,27.0
4477,2006,32.0,29.0,27.0
4478,2006,37.0,6.0,25.0
4479,2006,34.0,41.0,26.0
4480,2006,36.0,37.0,27.0
4481,2006,37.0,40.0,27.0
4482,2006,37.0,33.0,29.0
4483,2006,35.0,6.0,28.0
4484,2006,37.0,30.0,18.0
4485,2006,35.0,40.0,26.0
4486,2006,34.0,29.0,6.0
4487,2006,34.0,40.0,26.0
4488,2006,35.0,41.0,27.0
4489,2006,32.0,36.0,24.0
4490,2006,33.0,36.0,26.0
4491,2006,33.0,31.0,28.0
4492,2006,31.0,6.0,28.0
4493,2006,34.0,21.0,29.0
4494,2006,33.0,37.0,26.0
4495,2006,30.0,37.0,25.0
4496,2006,32.0,37.0,27.0
4497,2006,30.0,36.0,26.0
4498,2006,33.0,37.0,26.0
4499,2006,31.0,38.0,27.0
4500,2006,32.0,36.0,26.0
4501,2006,31.0,38.0,25.0
4502,2006,32.0,39.0,26.0
4503,2006,31.0,38.0,25.0
4504,2006,34.0,38.0,26.0
4505,2006,33.0,42.0,26.0
4506,2006,32.0,38.0,27.0
4507,2006,33.0,37.0,26.0
4508,2006,32.0,38.0,27.0
4509,2006,30.0,38.0,26.0
4510,2006,30.0,37.0,25.0
4511,2006,31.0,38.0,27.0
4512,2006,32.0,42.0,30.0
4513,2006,32.0,39.0,26.0
4514,2006,34.0,37.0,27.0
4515,2006,30.0,37.0,26.0
4516,2006,30.0,40.0,27.0
4517,2006,35.0,40.0,27.0
4518,2006,32.0,36.0,26.0
4519,2006,32.0,36.0,25.0
4520,2006,32.0,35.0,25.0
4521,2006,31.0,34.0,27.0
4522,2006,28.0,34.0,27.0
4523,2006,33.0,38.0,28.0
4524,2006,31.0,37.0,26.0
4525,2006,36.0,41.0,29.0
4526,2006,35.0,37.0,26.0
4527,2006,31.0,35.0,27.0
4528,2006,32.0,36.0,27.0
4529,2006,35.0,41.0,26.0
